ID,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Año,Mes,Día,Día semana,Hora,Hora completa,Num víctimas,Participantes,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada,Pos x,Pos y
2021-0047,CONDUCTOR,AUTO,MOTO,MASCULINO,59,Entre 41 y 60,2021,6,2,Miercoles,16,16:00:00,1,MOTO-AUTO,2021-06-02,"VEDIA, AGUSTIN DE Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,"VEDIA, AGUSTIN DE","RABANAL, FRANCISCO, INTENDENTE AV.","VEDIA, AGUSTIN DE y RABANAL, FRANCISCO, INTENDENTE AV.",COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.42190745,-34.65633192",-58.42190745,-34.65633192
2021-0048,CICLISTA,AUTO,BICICLETA,MASCULINO,44,Entre 41 y 60,2021,6,3,Jueves,9,09:58:00,1,BICICLETA-AUTO,2021-06-23,CAPDEVILLA Y CONGRESO AV.,AVENIDA,CAPDEVILA,CONGRESO AV.,CAPDEVILA y CONGRESO AV.,COMUNA 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,"-58.49026573,-34.5698141",-58.49026573,-34.5698141
2021-0049,CONDUCTOR,AUTO,AUTO,MASCULINO,74,Entre 61 y 80,2021,6,3,Jueves,20,20:30:00,1,AUTO-AUTO,2021-06-03,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.45410344,-34.66902702",-58.45410344,-34.66902702
2021-0050,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,56,Entre 41 y 60,2021,6,10,Jueves,13,13:30:00,1,MOTO-PASAJEROS,2021-06-10,DEL LIBERTADOR AV. 5958,AVENIDA,DEL LIBERTADOR AV.,,DEL LIBERTADOR AV. 5958,COMUNA 13,BELGRANO - COLEGIALES - NUÃ‘EZ,"-58.44751621,-34.55719892",-58.44751621,-34.55719892
2021-0051,PEATON,CARGAS,PEATON,MASCULINO,73,Entre 61 y 80,2021,6,15,Martes,19,19:20:00,1,PEATON-CARGAS,2021-06-16,27 DE FEBRERO AV. Y EREZCANO AV.,AVENIDA,27 DE FEBRERO AV.,EREZCANO AV.,27 DE FEBRERO AV. y EREZCANO AV.,COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.42040352,-34.66005171",-58.42040352,-34.66005171
2021-0052,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,MOTO,FEMENINO,19,Menos de 20,2021,6,20,Domingo,5,05:40:00,1,MOTO-OBJETO FIJO,2021-06-20,"PAZ, GRAL. AV. 14723",GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 14723",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.49530249,-34.68010798",-58.49530249,-34.68010798
2021-0053,PEATON,BICICLETA,PEATON,MASCULINO,58,Entre 41 y 60,2021,6,20,Domingo,12,12:00:00,1,PEATON-BICICLETA,2021-06-30,CORRIENTES AV. 5783,AVENIDA,CORRIENTES AV.,,CORRIENTES AV. 5783,COMUNA 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,"-58.44399875,-34.5947736",-58.44399875,-34.5947736
2021-0054,CONDUCTOR,CARGAS,MOTO,MASCULINO,41,Entre 41 y 60,2021,6,22,Martes,14,14:44:00,1,MOTO-CARGAS,2021-06-22,TABARE Y EREZCANO,CALLE,TABARE,EREZCANO,TABARE y EREZCANO,COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.42759813,-34.65463857",-58.42759813,-34.65463857
2021-0055,PASAJERO_ACOMPAÑANTE,CARGAS,MOTO,MASCULINO,47,Entre 41 y 60,2021,6,29,Martes,12,12:20:00,1,MOTO-CARGAS,2021-06-29,CORRIENTES AV. Y PUEYRREDOR AV.,AVENIDA,CORRIENTES AV.,PUEYRREDON AV.,CORRIENTES AV. y PUEYRREDON AV.,COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.40547222,-34.60456293",-58.40547222,-34.60456293
2021-0056,CICLISTA,AUTO,BICICLETA,MASCULINO,60,Entre 61 y 80,2021,7,9,Viernes,23,23:25:00,1,BICICLETA-AUTO,2021-07-09,"CORRALES Y MORENO, PERITO AV.",AVENIDA,CORRALES,"MORENO, PERITO AV.","CORRALES y MORENO, PERITO AV.",COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.42473018,-34.6500828",-58.42473018,-34.6500828
2021-0057,CONDUCTOR,OBJETO FIJO,AUTO,MASCULINO,46,Entre 41 y 60,2021,7,10,Sabado,23,23:30:00,1,AUTO-OBJETO FIJO,2021-07-10,"AU ILLIA KM 3.2, ALTURA CABINAS DE PEAJE",AUTOPISTA,AUTOPISTA ARTURO ILLIA,,AUTOPISTA  ARTURO ILLIA (CABINA DE PEAJE),COMUNA 2,RECOLETA,"-58.39257023,-34.57563957",-58.39257023,-34.57563957
2021-0058,PEATON,AUTO,PEATON,MASCULINO,24,Entre 21 y 40,2021,7,21,Miercoles,0,00:40:00,1,PEATON-AUTO,2021-07-21,AV. GRAL. PAZ Y VEDIA,GRAL PAZ,"PAZ, GRAL. AV.",VEDIA,"PAZ, GRAL. AV. y VEDIA",COMUNA 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,"-58.48941042,-34.54596153",-58.48941042,-34.54596153
